State,Major Cities
Alabama,"Birmingham, Montgomery, Mobile, Huntsville"
Alaska,"Anchorage, Juneau, Fairbanks, Sitka"
Arizona,"Phoenix, Tucson, Mesa, Scottsdale"
Arkansas,"Little Rock, Fort Smith, Fayetteville, Springdale"
California,"Los Angeles, San Francisco, San Diego, San Jose, Sacramento, Fresno"
Colorado,"Denver, Colorado Springs, Aurora, Fort Collins"
Connecticut,"Bridgeport, Stamford, New Haven, Hartford"
Delaware,"Wilmington, Dover, Newark, Middletown"
Florida,"Miami, Orlando, Tampa, Jacksonville, Tallahassee, St. Petersburg"
Georgia,"Atlanta, Augusta, Columbus, Savannah"
Hawaii,"Honolulu, Hilo, Kailua, Kapolei"
Idaho,"Boise, Meridian, Nampa, Idaho Falls"
Illinois,"Chicago, Aurora, Rockford, Naperville"
Indiana,"Indianapolis, Fort Wayne, Evansville, South Bend"
Iowa,"Des Moines, Cedar Rapids, Davenport, Sioux City"
Kansas,"Wichita, Overland Park, Kansas City, Topeka"
Kentucky,"Louisville, Lexington, Bowling Green, Owensboro"
Louisiana,"New Orleans, Baton Rouge, Shreveport, Lafayette"
Maine,"Portland, Lewiston, Bangor, South Portland"
Maryland,"Baltimore, Frederick, Gaithersburg, Germantown, Rockville"
Massachusetts,"Boston, Worcester, Springfield, Cambridge"
Michigan,"Detroit, Grand Rapids, Warren, Sterling Heights"
Minnesota,"Minneapolis, St. Paul, Rochester, Duluth"
Mississippi,"Jackson, Gulfport, Southaven, Biloxi"
Missouri,"Kansas City, St. Louis, Springfield, Columbia"
Montana,"Billings, Missoula, Great Falls, Bozeman"
Nebraska,"Omaha, Lincoln, Bellevue, Grand Island"
Nevada,"Las Vegas, Henderson, Reno, North Las Vegas"
New Hampshire,"Manchester, Nashua, Concord, Derry"
New Jersey,"Newark, Jersey City, Paterson, Elizabeth"
New Mexico,"Albuquerque, Las Cruces, Rio Rancho, Santa Fe"
New York,"New York City, Buffalo, Rochester, Yonkers, Syracuse, Albany"
North Carolina,"Charlotte, Raleigh, Greensboro, Durham"
North Dakota,"Fargo, Bismarck, Grand Forks, Minot"
Ohio,"Columbus, Cleveland, Cincinnati, Toledo"
Oklahoma,"Oklahoma City, Tulsa, Norman, Broken Arrow"
Oregon,"Portland, Salem, Eugene, Gresham"
Pennsylvania,"Philadelphia, Pittsburgh, Allentown, Erie"
Rhode Island,"Providence, Warwick, Cranston, Pawtucket"
South Carolina,"Charleston, Columbia, North Charleston, Mount Pleasant"
South Dakota,"Sioux Falls, Rapid City, Aberdeen, Brookings"
Tennessee,"Nashville, Memphis, Knoxville, Chattanooga"
Texas,"Houston, San Antonio, Dallas, Austin, Fort Worth, El Paso, Arlington"
Utah,"Salt Lake City, West Valley City, Provo, West Jordan"
Vermont,"Burlington, South Burlington, Rutland, Barre"
Virginia,"Virginia Beach, Norfolk, Chesapeake, Richmond"
Washington,"Seattle, Spokane, Tacoma, Vancouver"
West Virginia,"Charleston, Huntington, Morgantown, Parkersburg"
Wisconsin,"Milwaukee, Madison, Green Bay, Kenosha"
Wyoming,"Cheyenne, Casper, Laramie, Gillette"
